"Sample","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","type"
"1",-165.165990804942,5.21231541507553,-87.7297696972137,97.1332167998146,-10.7937664799001,-92.5900424785533,-48.005147162988,-54.5215752122749,25.0386927861839,-36.333585055292,-26.6080257760368,8.68791539074994,-16.0837549304277,-14.5863198845133,-19.5492920553842,15.6077842418489,0.766797071666795,4.49753093829562,2.99656740449534,-26.5988498499889,"ependymoma"
"2",-85.2301646100036,-53.1141995519703,66.330150934708,19.6458959933577,-55.6980620794186,42.4189048929134,-1.95960467297341,-9.05836772945095,-44.3510637377186,37.6041038135756,-15.0827144156317,78.8143870464565,-11.1982830162196,-28.8163000674853,-12.8405368626183,-0.326589241292384,4.68004659329606,-0.521393953842043,8.80505012510618,10.7869504900495,"ependymoma"
"3",-70.2724216398776,-68.3014854703613,4.75480161168089,-10.8405440638828,-21.7956745110931,35.1973825298101,14.7212428536421,23.2402419273641,-15.1175384636663,-2.21459343941254,35.3792575006993,-44.8298899233374,7.10159953874102,-5.55983717759024,-30.5419415145492,-14.3311496678522,-7.40097539041057,-20.4503172890884,-21.3438222714799,26.179427482805,"ependymoma"
"4",101.584497163913,-47.6939776062912,18.942634678057,48.9243922049765,-16.7311576710884,-18.9040394049571,54.2749566703369,-28.681224463323,-17.4701114928832,-3.92861438112747,15.2209745594989,35.8916723886229,14.2755928875335,15.5488631472939,2.66700830219854,34.7232246250016,18.323819183862,11.1416769318237,-11.6994758012896,18.1840587130157,"ependymoma"
"5",-65.8107374045725,-55.9424782993991,-2.93732890682419,54.4610483128957,-13.3367194333012,-13.2443936452859,-66.0805259180306,-7.00797565861346,-17.349430586475,-42.8911143142213,-8.15144240340425,-18.8174594665147,17.0917996798652,7.63719700096985,-21.2153798685806,-21.4607637139666,6.97848852486413,10.9044538599953,6.42849563469404,-2.5081873423636,"ependymoma"
"6",-124.979042693193,-20.1428524730494,-40.215193838132,85.4430696067995,-25.6918435568052,-38.7761517203713,-23.2790717304896,-33.9391478151459,-7.56996002803154,-31.4677056069391,3.67376977535403,6.64644311139463,4.86350067974304,-28.7927221834854,-5.04991948233125,-12.0576101315699,-13.556734040658,11.0895167459143,7.48245568480231,5.51187449782495,"ependymoma"
"7",-155.784237195128,-40.9797438142841,-31.8844511438096,27.8184134621802,-0.689941668770386,24.768018519996,61.9342100016102,5.00870620698575,-46.8551433517018,71.9841971224743,12.1231955702206,44.631993854836,-11.3671663827518,20.9895911164521,8.33578476947174,-8.01397150559106,1.18649485853035,-12.6189340295623,9.26148700439983,2.41988425706936,"ependymoma"
"8",-108.620870552526,-41.4344244906027,-23.7301217573699,65.7361092242124,2.92729454254394,-46.7706826005713,-18.9014170994609,0.458227451727917,-41.2703325808692,4.24873572062113,-0.0809752739791779,-9.57479668616555,20.287643636624,-14.3076947290977,7.50433013015649,-18.6418199348065,-21.0954647585302,24.1952195730331,-4.37328753211829,0.0435676042709482,"ependymoma"
"9",-110.619825137056,-33.1054094695242,-54.345464467424,37.1527493573605,0.246575035797319,-62.8467977338968,-46.4176867045898,-5.66439170707836,-12.6576437506846,7.38475569216513,-6.2792238841811,-43.9342306991171,-8.91789592802665,-16.8765244011474,-32.9817004382107,-24.948452902117,-30.8471820505132,-3.90774826690106,-10.2505028392268,-13.1847725898872,"ependymoma"
"10",-149.663202633126,-37.433298793448,-50.3264804934422,46.7242511025102,23.8593316632418,-21.2768205139342,-37.0490554916467,-5.67325716222267,-38.6342813689164,-14.2776873012972,-17.4567259819752,-45.4674496302254,5.56873449139508,-13.0441653454801,7.7737892252271,-22.7567893780467,-23.2142698375697,-5.23365970760447,-11.5188245534363,4.42335155514699,"ependymoma"
"11",124.087830484826,-93.1610885900703,-56.7811323933534,-8.28606682847514,-66.3461441211165,-39.3573715381538,14.7415372613159,0.114620507854033,59.6622635611841,9.51391023591782,-14.7447112474379,-18.4222181584338,-6.5139959744717,-36.8482948738981,-13.2486009332005,-6.28110165947034,12.5870103065088,10.7805628502772,40.9476230008467,-20.1591138798664,"ependymoma"
"12",-63.4186331921276,-9.51897092943234,-26.8138564051325,84.7319263221357,-8.12676092986026,-8.01077522683216,-88.3682969747076,-10.8434716039229,-54.5872321714748,71.4769669588751,-50.2337915212177,59.7044193595617,-26.8484938234838,-37.0088835067783,-41.855685181291,-32.1669029333463,-30.2266408786663,-0.606810962276181,1.29611166474879,-16.1339566943464,"ependymoma"
